
C:\Users\matias.araya.cohen\Documents\ITAU-ConsolodicacionDeSistemas\server-discovery>netstat -no 

Active Connections

  Proto  Local Address          Foreign Address        State           PID
  TCP    127.0.0.1:55040        127.0.0.1:50727        FIN_WAIT_2      3792
  TCP    127.0.0.1:55040        127.0.0.1:50738        TIME_WAIT       0
  TCP    127.0.0.1:55040        127.0.0.1:50741        TIME_WAIT       0
  TCP    127.0.0.1:55040        127.0.0.1:50782        TIME_WAIT       0
  TCP    127.0.0.1:55040        127.0.0.1:50783        TIME_WAIT       0
  TCP    127.0.0.1:55040        127.0.0.1:50785        TIME_WAIT       0
  TCP    127.0.0.1:55040        127.0.0.1:50816        TIME_WAIT       0
  TCP    127.0.0.1:55040        127.0.0.1:50817        ESTABLISHED     3792
  TCP    127.0.0.1:55040        127.0.0.1:50820        FIN_WAIT_2      3792
  TCP    127.0.0.1:55040        127.0.0.1:50826        ESTABLISHED     3792
  TCP    127.0.0.1:55040        127.0.0.1:50828        FIN_WAIT_2      3792
  TCP    127.0.0.1:55040        127.0.0.1:50830        TIME_WAIT       0
  TCP    127.0.0.1:55040        127.0.0.1:50832        ESTABLISHED     3792
  TCP    127.0.0.1:55040        127.0.0.1:50834        FIN_WAIT_2      3792
  TCP    127.0.0.1:55040        127.0.0.1:50838        TIME_WAIT       0
  TCP    127.0.0.1:55040        127.0.0.1:50840        TIME_WAIT       0
  TCP    127.0.0.1:55040        127.0.0.1:50842        FIN_WAIT_2      3792
  TCP    127.0.0.1:55040        127.0.0.1:50844        TIME_WAIT       0
  TCP    127.0.0.1:55040        127.0.0.1:50846        FIN_WAIT_2      3792
  TCP    127.0.0.1:55040        127.0.0.1:50848        TIME_WAIT       0
  TCP    127.0.0.1:55040        127.0.0.1:50850        TIME_WAIT       0
  TCP    127.0.0.1:55040        127.0.0.1:50853        FIN_WAIT_2      3792
  TCP    127.0.0.1:55040        127.0.0.1:50856        TIME_WAIT       0
  TCP    127.0.0.1:55040        127.0.0.1:50858        FIN_WAIT_2      3792
  TCP    127.0.0.1:55040        127.0.0.1:50861        ESTABLISHED     3792
  TCP    127.0.0.1:55040        127.0.0.1:50863        FIN_WAIT_2      3792
  TCP    127.0.0.1:55040        127.0.0.1:50864        FIN_WAIT_2      3792
  TCP    127.0.0.1:55040        127.0.0.1:50867        TIME_WAIT       0
  TCP    127.0.0.1:55040        127.0.0.1:50869        TIME_WAIT       0
  TCP    127.0.0.1:55040        127.0.0.1:50872        FIN_WAIT_2      3792
